name,category,catalog_group,catalog_file,entry_anchor,availability,stat_baseline,cr,size,creature_type,ac,hp,speed,str,dex,con,int,wis,cha,habitat,elyndrian_regions,campaign_status,magical_dependency,dead_zone_behavior,recommended_party_levels,suitable_gate_city,strengths_advantages,weaknesses_disadvantages,damage_vulnerabilities,damage_resistances,damage_immunities,condition_immunities,senses,verification,physical_viability,connection_severance,dm_adjudication
Phase Spider,Planar and Escaped/Fey and Ethereal Predators,planar_and_magical,catalog/planar_and_magical/Fey_and_Ethereal_Predators.md,phase-spider,5e and 5.5e,Basic Rules (2014),3,Large,Monstrosity,13,32,"30 ft., climb 30 ft.",15,15,12,6,10,6,"Forest, underground, Ethereal, urban",Cargo infestations; research escape; gate predator,Planar or escaped,Moderate,"Ethereal Jaunt fails; climbing, webs, bite and venom remain.",3-5,Ravensport; Faerindel,Ethereal ambush; Spider Climb; Web Walker; dangerous poison,Low HP/AC for CR; ethereal advantage removed in dead zones,None,None,None,None,Darkvision 60 ft.; Passive Perception 10,Verified planning baseline,Physically self-sustaining,"Magical control, summoning, telepathy, tracking, or creator/master links are severed when present.",DM decides behavioral consequences after severance.
Piercer,"Natural Wildlife/Cavern, Mine and Burrowing Predators",natural_ecology,catalog/natural_ecology/Cavern_Mine_and_Burrowing_Predators.md,piercer,5e and 5.5e,Monster Manual (2014),1/2,Medium,Monstrosity,15,22,"5 ft., climb 5 ft.",10,13,16,1,7,3,Underground,Deepanvil; Western and Northern Mountain caverns,Natural cavern predator,None,Functions normally.,1-3 as hazard,Ironforge,False Appearance; high drop damage from ceiling ambush,Extremely slow; poor senses and mental scores; weak after dropping,None,None,None,None,Blindsight 30 ft.; Darkvision 60 ft.; Passive Perception 8,Verified planning baseline,Physically self-sustaining,"None by default; magical control, tracking, or creator links are severed when present.",DM determines encounter-specific exceptions.
Pixie,Planar and Escaped/Fey and Magical Wilderness Creatures,planar_and_magical,catalog/planar_and_magical/Fey_and_Magical_Wilderness_Creatures.md,pixie,5e,Monster Manual (2014),1/4,Tiny,Fey,15,1,"10 ft., fly 30 ft.",2,20,8,10,14,15,"Feywild, forest, wilderness",Faerindel; Central Forest Belt; gate-adjacent forests,"Planar visitor, resident, or escaped fey",High,Spellcasting and invisibility fail; physical flight and intelligence remain.,1-3 or social,Faerindel,Very high Dexterity and Charisma; powerful utility spellcasting; invisibility,Only 1 HP; almost no direct physical offense,None,None,None,None,Darkvision 60 ft.; Passive Perception varies,Planning baseline; verify the selected owned D&D Beyond version before live play.,Physically self-sustaining,"Magical creator, master, home-tree, or remote communication links are severed when present.",DM determines duration and secondary consequences.
Plesiosaurus,"Natural Ecology/Freshwater, Marsh, and Deep-Water Wildlife",natural_ecology,catalog/natural_ecology/Freshwater_Marsh_and_Deep_Water_Wildlife.md,plesiosaurus,5e and 5.5e,Basic Rules (2014),2,Large,Beast (Dinosaur),13,68,"20 ft., swim 40 ft.",18,15,16,2,12,5,"Coastal, underwater",Azure Sea; Frost Sea; remote coastal inlets only,"Natural, marine only",None,Functions normally. It has no natural Lake Aelorin population.,2-4,Ravensport,Strong long-necked bite; fast swimmer; Hold Breath,Slow on land; low Intelligence; lake appearance requires an extraordinary explanation,None,None,None,None,Passive Perception 13,Planning baseline; verify the selected owned D&D Beyond version before live play.,Physically self-sustaining,None by default.,DM determines encounter-specific exceptions.
Polar Bear,Natural Wildlife/Wolves and Large Predators,natural_ecology,catalog/natural_ecology/Wolves_and_Large_Predators.md,polar-bear,5e and 5.5e,Basic Rules (2014),2,Large,Beast,12,42,"40 ft., swim 30 ft.",20,10,16,2,13,7,Arctic,Northern Crown; Frost Sea coast,Natural,None,Functions normally.,2-4,Ironforge,Advantage on smell Perception; strong melee damage; capable swimmer,Low Dexterity and mental scores; poor ranged options,None,None,None,None,Passive Perception 13,Verified planning baseline,Physically self-sustaining,"None by default; magical control, tracking, or creator links are severed when present.",DM determines encounter-specific exceptions.
Pteranodon,Natural Wildlife/Aerial and Cliff-Dwelling Wildlife,natural_ecology,catalog/natural_ecology/Aerial_and_Cliff_Dwelling_Wildlife.md,pteranodon,5e and 5.5e,Basic Rules (2014),1/4,Medium,Beast,13,13,"10 ft., fly 60 ft.",12,15,10,2,9,5,"Coastal, grassland, mountain",Azure cliffs; southern coast; remote western cliffs,Natural,None,Functions normally.,1-2; flocks through 3,Ravensport,Flyby prevents opportunity attacks; high flight speed,Low HP and Constitution; weak on the ground,None,None,None,None,Normal senses unless noted,Verified planning baseline,Physically self-sustaining,"None by default; magical control, tracking, or creator links are severed when present.",DM determines encounter-specific exceptions.
Purple Worm,Natural Wildlife/Venomous Animals and Large Insects,natural_ecology,catalog/natural_ecology/Venomous_Animals_and_Large_Insects.md,purple-worm,5e and 5.5e,Basic Rules (2014),15,Gargantuan,Monstrosity,18,247,"50 ft., burrow 30 ft.",28,7,22,1,8,4,Underground,Extreme depths under Western or Northern Mountains,Exceptional natural apex predator,None,Functions normally.,13-17; lower levels only as disaster,Ironforge,Massive HP/Strength; swallow; extreme poison; tremorsense; burrowing,Very low Dexterity and mental scores; enormous target; poor tactical flexibility,None,None,Poison,Poisoned,Blindsight 30 ft.; Tremorsense 60 ft.; Passive Perception 9,Verified planning baseline,Physically self-sustaining,"None by default; magical control, tracking, or creator links are severed when present.",DM determines encounter-specific exceptions.
Quasit,Planar and Escaped/Minor and Moderate Gate Incursions,gate_incursions,catalog/gate_incursions/Minor_and_Moderate_Gate_Incursions.md,quasit,5e and 5.5e,Basic Rules (2014),1,Tiny,Fiend (Demon),13,7,40 ft.,5,17,10,7,10,10,"Abyss, adaptable",Destructive stowaway; advance scout; machinery saboteur,Planar,High,"Invisibility, Shapechanger, Scare and magical defenses are suppressed; drain applies.",2-4,All,Invisibility; Shapechanger; Scare; Magic Resistance advantage; strong Stealth,Extremely low HP and Strength; heavily weakened in dead zones,None,"Cold, Fire, Lightning; Bludgeoning, Piercing, Slashing from nonmagical attacks",Poison,Poisoned,Darkvision 120 ft.; Passive Perception 10,Verified planning baseline,Physically self-sustaining,"Magical control, summoning, telepathy, tracking, or creator/master links are severed when present.",DM decides behavioral consequences after severance.
Quickling,Planar and Escaped/Fey and Magical Wilderness Creatures,planar_and_magical,catalog/planar_and_magical/Fey_and_Magical_Wilderness_Creatures.md,quickling,5e,Volo’s Guide to Monsters,1,Tiny,Fey,16,10,120 ft.,4,23,13,10,12,7,"Feywild, forest, wilderness",Faerindel; Central Forest Belt; gate-adjacent forests,"Planar visitor, resident, or escaped fey",High,Supernatural speed and blurred movement fail; it remains a small agile creature.,1-3,Faerindel,Extreme speed; blurred movement imposes disadvantage; Evasion; multiple attacks,Very low HP and Strength; defining advantage removed in dead zones,None,None,None,None,Darkvision 60 ft.; Passive Perception varies,Planning baseline; verify the selected owned D&D Beyond version before live play.,Physically self-sustaining,"Magical creator, master, home-tree, or remote communication links are severed when present.",DM sets reduced speed and whether any residual agility remains.
Red Slaad,Planar and Escaped/Severe Gate Incursions,gate_incursions,catalog/gate_incursions/Severe_Gate_Incursions.md,red-slaad,5e and 5.5e,Basic Rules (2014),5,Large,Aberration,14,93,30 ft.,16,12,16,6,6,7,Limbo,Quarantine emergency; infected traveler; severe breach,Planar,High,Regeneration and Magic Resistance are suppressed; physical attacks remain; implantation needs DM approval.,5-7,All,Regeneration; Magic Resistance advantage; broad elemental resistances; dangerous reproduction,Very poor Wisdom/Charisma; dead-zone suppression; no ranged attack,None,"Acid, Cold, Fire, Lightning, Thunder",None,None,Darkvision 60 ft.; Passive Perception 11,Verified planning baseline,Physically self-sustaining,"Magical control, summoning, telepathy, tracking, or creator/master links are severed when present.",DM decides behavioral consequences after severance.
Redcap,Planar and Escaped/Fey and Magical Wilderness Creatures,planar_and_magical,catalog/planar_and_magical/Fey_and_Magical_Wilderness_Creatures.md,redcap,5e,Volo’s Guide to Monsters,3,Small,Fey,13,45,25 ft.,18,13,18,10,12,9,"Feywild, forest, wilderness",Faerindel; Central Forest Belt; gate-adjacent forests,"Planar visitor, resident, or escaped fey",Moderate,"Physical strength, boots, sickle, and durability remain; supernatural blood-fed vitality is suppressed.",3-5,Faerindel,High Strength/Constitution; multiple attacks; ironbound pursuit; oversized weapon handling,Slow; poor Charisma; blood dependency may cause deterioration,None,None,None,None,Darkvision 60 ft.; Passive Perception varies,Planning baseline; verify the selected owned D&D Beyond version before live play.,Physically self-sustaining,"Magical creator, master, home-tree, or remote communication links are severed when present.",DM decides deterioration rate and whether it can recover after leaving the dead zone.
Reef Shark,"Natural Wildlife/Aquatic, Wetland and Coastal Wildlife",natural_ecology,catalog/natural_ecology/Aquatic_Wetland_and_Coastal_Wildlife.md,reef-shark,5e and 5.5e,Basic Rules (2014),1/2,Medium,Beast,12,22,swim 40 ft.,14,13,13,1,10,4,"Coastal, underwater",Azure Sea reefs; harbor outskirts,Natural,None,Functions normally.,1-3 in groups,Ravensport,Pack Tactics; blindsight; good aquatic mobility,Cannot breathe air; weak alone; no land movement,None,None,None,None,Blindsight 30 ft.; Passive Perception 12,Verified planning baseline,Physically self-sustaining,"None by default; magical control, tracking, or creator links are severed when present.",DM determines encounter-specific exceptions.
Remorhaz,Natural Wildlife/Cold-Region Predators,natural_ecology,catalog/natural_ecology/Cold_Region_Predators.md,remorhaz,5e and 5.5e,Basic Rules (2014),11,Huge,Monstrosity,17,195,"30 ft., burrow 20 ft.",24,13,21,4,10,5,Arctic,Deep Northern Crown; remote tundra and major passes,Natural apex predator,None under biological-heat ruling,Functions normally under proposed biological-heat ruling.,9-12,Ironforge,Fire/cold immunity; Heated Body; swallow; burrow and tremorsense,Low mental scores; huge target; limited ranged options,None,None,"Cold, Fire",None,Darkvision 60 ft.; Tremorsense 60 ft.; Passive Perception 10,Verified planning baseline,Physically self-sustaining,"None by default; magical control, tracking, or creator links are severed when present.",DM determines encounter-specific exceptions.
Rhinoceros,Natural Wildlife/Southern-Plains Wildlife,natural_ecology,catalog/natural_ecology/Southern_Plains_Wildlife.md,rhinoceros,5e and 5.5e,Basic Rules (2014),2,Large,Beast,11,45,40 ft.,21,8,15,2,12,6,Grassland,Broad southern grasslands and wet savannas,Natural,None,Functions normally.,2-4,Ravensport region,Powerful Charge; very high Strength,"Low AC, Dexterity and mental scores; charge needs distance",None,None,None,None,Normal senses unless noted,Verified planning baseline,Physically self-sustaining,"None by default; magical control, tracking, or creator links are severed when present.",DM determines encounter-specific exceptions.
Roper,Planar and Escaped/Captured and Transported Monstrosities,planar_and_magical,catalog/planar_and_magical/Captured_and_Transported_Monstrosities.md,roper,5e and 5.5e,Basic Rules (2014),5,Large,Monstrosity,20,93,"10 ft., climb 10 ft.",18,8,17,7,16,6,Underground,Gate cavern predator; tunnel-defense study; sealed mine,"Planar, escaped, or established cavern species",Low,"Physical tendrils, restraint, climbing and False Appearance remain.",5-7,Ironforge,Very high AC; False Appearance; six long tendrils; Reel; Spider Climb,Very slow; low Dexterity and Charisma; vulnerable to long-range repositioning,None,None,None,None,Darkvision 60 ft.; Passive Perception 16,Verified planning baseline,Physically self-sustaining,"None by default; magical control, tracking, or creator links are severed when present.",DM determines encounter-specific exceptions.
Rust Monster,Planar and Escaped/Captured and Transported Monstrosities,planar_and_magical,catalog/planar_and_magical/Captured_and_Transported_Monstrosities.md,rust-monster,5e and 5.5e,Basic Rules (2014),1/2,Medium,Monstrosity,14,27,40 ft.,13,12,13,2,13,6,Underground,Ironforge alloy tests; Ravensport cargo; industrial sabotage,Escaped,None,Functions normally; corrosion is treated as biological.,1-3,Ironforge; Ravensport,Corrodes nonmagical ferrous weapons/armor; Iron Scent; darkvision,"Low damage, Intelligence and Charisma; often food-motivated",None,None,None,None,Darkvision 60 ft.; Passive Perception 11,Verified planning baseline,Physically self-sustaining,"None by default; magical control, tracking, or creator links are severed when present.",DM determines encounter-specific exceptions.
Saber-Toothed Tiger,Natural Wildlife/Cold-Region Predators,natural_ecology,catalog/natural_ecology/Cold_Region_Predators.md,saber-toothed-tiger,5e and 5.5e,Basic Rules (2014),2,Large,Beast,12,52,40 ft.,18,14,15,3,12,8,"Arctic, forest",Northern Crown valleys; alpine forest margins,Natural,None,Functions normally.,2-4,Ironforge,Pounce; advantage on smell Perception; high Stealth and Strength,Low AC and mental scores; relies on approach and charge,None,None,None,None,Passive Perception 13,Verified planning baseline,Physically self-sustaining,"None by default; magical control, tracking, or creator links are severed when present.",DM determines encounter-specific exceptions.
Salamander,Planar and Escaped/Severe Gate Incursions,gate_incursions,catalog/gate_incursions/Severe_Gate_Incursions.md,salamander,5e and 5.5e,Basic Rules (2014),5,Large,Elemental,15,90,30 ft.,18,14,15,11,10,12,Elemental Fire,Forge breach; elemental cargo accident; Ironforge sabotage,Planar,High,"Magical elemental body loses cohesion and dies, dissipates, or becomes inert matter; exact timing is set by the DM.",5-7,Ironforge,Fire immunity; heated body/weapons; reach and constriction,Cold vulnerability; elemental drain; moderate AC,Cold,"Bludgeoning, Piercing, Slashing from nonmagical attacks",Fire,None,Darkvision 60 ft.; Passive Perception 10,Verified planning baseline,Not self-sustaining in a dead zone,"Any summoner, master, or planar command link is severed immediately.",DM decides collapse timing and whether a core radius temporarily sustains it.
Satyr,Planar and Escaped/Fey and Magical Wilderness Creatures,planar_and_magical,catalog/planar_and_magical/Fey_and_Magical_Wilderness_Creatures.md,satyr,5e and 5.5e,Basic Rules (2014),1/2,Medium,Fey,14,31,40 ft.,12,16,11,12,10,14,"Feywild, forest, wilderness",Faerindel; Central Forest Belt; gate-adjacent forests,"Planar visitor, resident, or escaped fey",Low,"Physical body, weapons, hooves, skills, and personality remain; magical resistance and magical attacks are suppressed.",1-3,Faerindel,Magic Resistance; speed; strong social and Stealth skills,Moderate HP; relies on mobility and magic resistance,None,None,None,None,Darkvision 60 ft.; Passive Perception varies,Planning baseline; verify the selected owned D&D Beyond version before live play.,Physically self-sustaining,"Magical creator, master, home-tree, or remote communication links are severed when present.",DM determines duration and secondary consequences.
Scarecrow,Planar and Escaped/Magically Animated Constructs and Objects,constructs_and_animated,catalog/constructs_and_animated/Magically_Animated_Constructs_and_Objects.md,scarecrow,5e and 5.5e,Monster Manual (2014),1,Medium,Construct,11,36,30 ft.,11,13,11,10,10,13,"Constructed, urban, facility",Ravensport trade; Ironforge workshops; Faerindel estates; gate facilities,Magically animated construct,Extreme,"Animation ceases and it becomes ordinary straw, clothing, and frame. Exact timing is set by the DM.",1-3,All,Terrifying Gaze; False Appearance; physical resistance,Fire vulnerability; low AC; magical life ends in dead zones,Fire,"Bludgeoning, Piercing, Slashing from nonmagical attacks",Poison,"Charmed, Frightened, Paralyzed, Poisoned, Unconscious",Darkvision 60 ft.; Passive Perception varies,Planning baseline; verify the selected owned D&D Beyond version before live play.,Not self-sustaining in a dead zone,"Creator, amulet, telepathic, command, and stored-spell connections are severed immediately.",DM decides shutdown timing and whether a core radius sustains or restores animation.
Scorpion,Natural Wildlife/Venomous Animals and Large Insects,natural_ecology,catalog/natural_ecology/Venomous_Animals_and_Large_Insects.md,scorpion,5e and 5.5e,Basic Rules (2014),0,Tiny,Beast,11,1,10 ft.,2,11,8,1,8,2,"Desert, warm cavern, urban",Dry south; rocky hills; warm warehouses,Natural,None,Functions normally.,Environmental,Ravensport; Ironforge,Venom; easy to conceal,Only 1 HP; very low ability scores,None,None,None,None,Blindsight 10 ft.; Passive Perception 9,Verified planning baseline,Physically self-sustaining,"None by default; magical control, tracking, or creator links are severed when present.",DM determines encounter-specific exceptions.
Sea Hag,Planar and Escaped/Minor and Moderate Gate Incursions,gate_incursions,catalog/gate_incursions/Minor_and_Moderate_Gate_Incursions.md,sea-hag,5e and 5.5e,Basic Rules (2014),2,Medium,Fey,14,52,"30 ft., swim 40 ft.",16,13,16,12,12,13,"Coast, underwater",Aquatic incursion; escaped prisoner; concealed traveler,Planar,High,"Illusory Appearance, Horrific Appearance and Death Glare are suppressed; claws and swimming remain; drain applies.",2-4,Ravensport; Faerindel,Amphibious; frightening appearance; Death Glare; disguise outside dead zones,Magical abilities removed in dead zones; moderate AC and no ranged weapon,None,None,None,None,Darkvision 60 ft.; Passive Perception 11,Verified planning baseline,Physically self-sustaining,"Magical control, summoning, telepathy, tracking, or creator/master links are severed when present.",DM decides behavioral consequences after severance.
Sea Spawn,Planar and Escaped/Intelligent Aquatic and Magical Water Threats,planar_and_magical,catalog/planar_and_magical/Intelligent_Aquatic_and_Magical_Water_Threats.md,sea-spawn,5e,Volo’s Guide to Monsters / Monsters of the Multiverse,1,Medium,Humanoid or Monstrosity,11,32,"20 ft., swim 30 ft.",15,8,15,6,10,8,"Coastal, underwater",Ravensport docks; stranded ships; coastal cult sites; failed quarantine,Altered person or planar servant,Low,Permanent physical alterations survive; magical control and creator links cease.,1-3,Ravensport,Amphibious physiology; variable physical mutations; works well in groups,Slow land speed; low Dexterity and Intelligence; may become disoriented when control ends,None,None,None,None,Darkvision 120 ft.; Passive Perception 10,Planning baseline; verify the selected owned D&D Beyond version before live play.,Physically self-sustaining,"Creator, master, hive, or remote command connection is severed immediately.",DM determines encounter-specific exceptions.
Shambling Mound,Planar and Escaped/Magically Sustained Plants and Blights,planar_and_magical,catalog/planar_and_magical/Magically_Sustained_Plants_and_Blights.md,shambling-mound,Both,Basic Rules (2014),5,Large,Plant,15,136,"20 ft., swim 20 ft.",18,8,16,5,10,5,Swamp,Duskmarsh; Silent Fen; Faerindel quarantine or escaped specimen,Magically sustained plant creature,Extreme,Magical life and animation cease; the creature withers and dies. Exact death timing is set by the DM.,Varies by CR,Faerindel,High HP; grapples and engulfs; lightning absorption outside dead zones,Slow; low Dexterity and mental scores; magical nature cannot survive a dead zone,None,"Cold, Fire",Lightning,"Blinded, Deafened, Exhaustion",Blindsight or normal senses as published; verify selected version.,Planning baseline; verify the selected owned D&D Beyond version before live play.,Not self-sustaining in a dead zone,"Creator, awakening, tree-bond, or animating connections are severed immediately.",DM decides death timing and whether a core radius can sustain or restore it.
Shield Guardian,Planar and Escaped/Magically Animated Constructs and Objects,constructs_and_animated,catalog/constructs_and_animated/Magically_Animated_Constructs_and_Objects.md,shield-guardian,5e and 5.5e,Monster Manual (2014),7,Large,Construct,17,142,30 ft.,18,8,18,7,10,3,"Constructed, urban, facility",Ravensport trade; Ironforge workshops; Faerindel estates; gate facilities,Magically animated construct,Extreme,Animation ceases and it becomes an inert armored guardian. Exact timing is set by the DM.,7-9,All,Regeneration; damage transfer; reaction shielding; spell storage; huge HP,Extremely poor Dexterity/Charisma; depends on control amulet,None,None,Poison,"Charmed, Exhaustion, Frightened, Paralyzed, Poisoned",Darkvision 60 ft.; Passive Perception varies,Planning baseline; verify the selected owned D&D Beyond version before live play.,Not self-sustaining in a dead zone,"Creator, amulet, telepathic, command, and stored-spell connections are severed immediately.",DM decides shutdown timing and whether a core radius sustains or restores animation.
Shrieker Fungus,"Natural Ecology/Physical Fungi, Myconids, and Predatory Plants",natural_ecology,catalog/natural_ecology/Physical_Fungi_Myconids_and_Predatory_Plants.md,shrieker-fungus,5e and 5.5e,Basic Rules (2014),0,Medium,Plant,5,13,0 ft.,1,1,10,1,3,1,"Underground, damp ruins",Caverns; mines; sewers; abandoned facilities,Natural fungus,None,Functions normally.,Environmental,Ironforge; Deepanvil,Loud shriek alerts nearby creatures; False Appearance,Immobile; harmless alone; extremely poor defenses,None,None,None,"Blinded, Deafened, Frightened",Blindsight 30 ft. (blind beyond); Passive Perception 6,Planning baseline; verify the selected owned D&D Beyond version before live play.,Physically self-sustaining,None by default.,DM determines encounter-specific exceptions.
Smoke Mephit,Planar and Escaped/Minor Elemental Gate Creatures,gate_incursions,catalog/gate_incursions/Minor_Elemental_Gate_Creatures.md,smoke-mephit,5e,Monster Manual (2014),1/4,Small,Elemental,12,22,"30 ft., fly 30 ft.",6,14,12,10,10,11,"Elemental planes, gate facilities",Forge exhaust; warehouse fires; sabotage sites,Planar elemental gate creature,Extreme,Magical elemental body collapses; leaves ordinary smoke and soot. Exact timing is set by the DM.,1-3 in groups,Ironforge; Ravensport; Faerindel,Cinder breath; death burst; flight; obscuring utility,Low HP and Strength; dissipates in dead zones,None,None,Poison,Poisoned,Darkvision 60 ft.; Passive Perception 10,Planning baseline; verify the selected owned D&D Beyond version before live play.,Not self-sustaining in a dead zone,"Summoning, binding, creator, and planar command links are severed immediately.",DM decides collapse timing and whether a core radius temporarily sustains it.
Sprite,Planar and Escaped/Fey and Magical Wilderness Creatures,planar_and_magical,catalog/planar_and_magical/Fey_and_Magical_Wilderness_Creatures.md,sprite,5e and 5.5e,Basic Rules (2014),1/4,Tiny,Fey,15,2,"10 ft., fly 40 ft.",3,18,10,14,13,11,"Feywild, forest, wilderness",Faerindel; Central Forest Belt; gate-adjacent forests,"Planar visitor, resident, or escaped fey",Moderate,"Invisibility and Heart Sight fail; physical flight, weapons, and poison remain.",1-3 or social,Faerindel,Exceptional Stealth; invisibility; Heart Sight; poison; flight,Only 2 HP; negligible Strength,None,None,None,None,Darkvision 60 ft.; Passive Perception varies,Planning baseline; verify the selected owned D&D Beyond version before live play.,Physically self-sustaining,"Magical creator, master, home-tree, or remote communication links are severed when present.",DM determines duration and secondary consequences.
Steam Mephit,Planar and Escaped/Minor and Moderate Gate Incursions,gate_incursions,catalog/gate_incursions/Minor_and_Moderate_Gate_Incursions.md,steam-mephit,5e and 5.5e,Basic Rules (2014),1/4,Small,Elemental,10,21,"30 ft., fly 30 ft.",5,11,10,11,10,12,Elemental Planes,Small gate breach; forge/water accident; elemental cargo,Planar,High,"Magical elemental body loses cohesion and dies, dissipates, or becomes inert matter; exact timing is set by the DM.",1-3 in groups,Ravensport; Ironforge,Flight; breath cone; Death Burst; can cast blur; fire immunity,Very low AC/Strength; elemental drain in dead zones,None,None,"Fire, Poison",Poisoned,Darkvision 60 ft.; Passive Perception 10,Verified planning baseline,Not self-sustaining in a dead zone,"Any summoner, master, or planar command link is severed immediately.",DM decides collapse timing and whether a core radius temporarily sustains it.
Stone Defender,Planar and Escaped/Clockwork Construct Adaptation Chassis,constructs_and_animated,catalog/constructs_and_animated/Clockwork_Construct_Adaptation_Chassis.md,stone-defender,5e,Mordenkainen Presents: Monsters of the Multiverse,4,Medium,Construct,16,52,30 ft.,19,10,17,3,10,1,"Constructed, workshop, facility",Ironforge; Deepanvil; imported gate machinery,Official magical construct and possible chassis for a separate nonmagical Elyndrian variant,Extreme in official form,Official magical version becomes inert. A separately approved mechanical variant may function normally.,Varies by CR,Ironforge; Deepanvil,Strong defensive reaction; high Strength/Constitution; False Appearance,Poor mobility and mental scores; official animation is magical,None,None,"Poison, Psychic","Charmed, Exhaustion, Frightened, Paralyzed, Petrified, Poisoned",Darkvision 60 ft.; Passive Perception 10,Supplement planning chassis; verify exact owned D&D Beyond version before use.,Official version is not self-sustaining; a redesigned mechanical variant may be.,Official magical command and creator connections are severed. Mechanical programming would require a separate approved entry.,DM approval is required before treating any adaptation as nonmagical.
Stone Golem,Planar and Escaped/Magically Animated Constructs and Objects,constructs_and_animated,catalog/constructs_and_animated/Magically_Animated_Constructs_and_Objects.md,stone-golem,5e and 5.5e,Basic Rules (2014),10,Large,Construct,17,178,30 ft.,22,9,20,3,11,1,"Constructed, urban, facility",Ravensport trade; Ironforge workshops; Faerindel estates; gate facilities,Magically animated construct,Extreme,Animation ceases and it becomes inert carved stone. Exact timing is set by the DM.,10-12,All,High AC/HP; Slow effect; powerful melee; Magic Resistance,Low Dexterity and mental scores; enormous immobile remains,None,None,"Poison, Psychic; Bludgeoning, Piercing, Slashing from nonmagical attacks not made with adamantine","Charmed, Exhaustion, Frightened, Paralyzed, Petrified, Poisoned",Darkvision 120 ft.; Passive Perception 10,Planning baseline; verify the selected owned D&D Beyond version before live play.,Not self-sustaining in a dead zone,"Creator, amulet, telepathic, command, and stored-spell connections are severed immediately.",DM decides shutdown timing and whether a core radius sustains or restores animation.
Swarm of Bats,Natural Wildlife/Swarms and Small Vermin,natural_ecology,catalog/natural_ecology/Swarms_and_Small_Vermin.md,swarm-of-bats,5e and 5.5e,Basic Rules (2014),1/4,Medium swarm,Swarm of Tiny Beasts,12,22,"0 ft., fly 30 ft.",5,15,10,2,12,4,"Caverns, ruins, buildings",Mountain caverns; Deepanvil; Ironforge; ruins,Natural,None,Functions normally.,1-3,Ironforge; Faerindel,Can occupy another creature's space; blindsight; advantage on hearing Perception,Half damage when below half HP; blindsight fails while deafened,None,"Bludgeoning, Piercing, Slashing",None,"Charmed, Frightened, Grappled, Paralyzed, Petrified, Prone, Restrained, Stunned",Blindsight 60 ft.; Passive Perception 11,Verified planning baseline,Physically self-sustaining,"None by default; magical control, tracking, or creator links are severed when present.",DM determines encounter-specific exceptions.
Swarm of Insects,Natural Wildlife/Swarms and Small Vermin,natural_ecology,catalog/natural_ecology/Swarms_and_Small_Vermin.md,swarm-of-insects,5e and 5.5e,Basic Rules (2014),1/2,Medium swarm,Swarm of Tiny Beasts,12,22,"20 ft., climb 20 ft.",3,13,10,1,7,1,"Forest, grassland, swamp, farm",Central forests; southern plains; Duskmarsh; Silent Fen,Natural,None,Functions normally.,1-3,Faerindel; Ravensport,Occupies enemy spaces; difficult to restrain; climb speed,Very poor mental scores; reduced damage below half HP,None,"Bludgeoning, Piercing, Slashing",None,"Charmed, Frightened, Grappled, Paralyzed, Petrified, Prone, Restrained, Stunned",Blindsight 10 ft.; Passive Perception 8,Verified planning baseline,Physically self-sustaining,"None by default; magical control, tracking, or creator links are severed when present.",DM determines encounter-specific exceptions.
Swarm of Quippers,"Natural Ecology/Freshwater, Marsh, and Deep-Water Wildlife",natural_ecology,catalog/natural_ecology/Freshwater_Marsh_and_Deep_Water_Wildlife.md,swarm-of-quippers,5e and 5.5e,Basic Rules (2014),1,Medium swarm,Swarm of Tiny Beasts,13,28,swim 40 ft.,13,16,9,1,7,2,"Freshwater, underwater",Lake Aelorin deep pools; main river channels; flooded caverns; southern marshes,"Natural, localized",None,Functions normally.,1-3,Faerindel; Ravensport,Blood Frenzy grants advantage against wounded targets; occupies creature spaces,Cannot survive out of water; reduced damage below half HP,None,"Bludgeoning, Piercing, Slashing",None,"Charmed, Frightened, Grappled, Paralyzed, Petrified, Prone, Restrained, Stunned",Darkvision 60 ft.; Passive Perception 8,Planning baseline; verify the selected owned D&D Beyond version before live play.,Physically self-sustaining,None by default.,DM determines encounter-specific exceptions.
Swarm of Rats,Natural Wildlife/Swarms and Small Vermin,natural_ecology,catalog/natural_ecology/Swarms_and_Small_Vermin.md,swarm-of-rats,5e and 5.5e,Basic Rules (2014),1/4,Medium swarm,Swarm of Tiny Beasts,10,24,30 ft.,9,11,9,2,10,3,"Urban, sewer, mine, ruin",Every city; Ravensport warehouses; underground districts,Natural,None,Functions normally.,1-3,Ravensport; Ironforge,Can occupy enemy spaces; advantage on smell Perception,Low AC and Constitution; reduced damage below half HP,None,"Bludgeoning, Piercing, Slashing",None,"Charmed, Frightened, Grappled, Paralyzed, Petrified, Prone, Restrained, Stunned",Darkvision 30 ft.; Passive Perception 10,Verified planning baseline,Physically self-sustaining,"None by default; magical control, tracking, or creator links are severed when present.",DM determines encounter-specific exceptions.
